source_name,category,candidate,official_url,temporal_coverage,spatial_resolution,format,account_required,license_or_usage,automated_access,important_limitations,status
Copernicus Data Space STAC sentinel-2-l2a,satellite,all,https://documentation.dataspace.copernicus.eu/APIs/STAC.html,Sentinel-2 archive,10-60 m band dependent,STAC JSON,no,Copernicus open data terms,yes,"Catalogue cloud metadata is scene-level; public endpoint returned intermittent 5xx for long queries",available_with_odata_fallback
Copernicus Sentinel-2 L2A,satellite,all,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/S2L2A.html,Sentinel-2 archive,10-60 m band dependent,SAFE/COG/API assets,account for most data delivery,Copernicus open data terms,yes,"L2A surface reflectance and SCL are suitable inputs but not pollution evidence",available
Copernicus Sentinel-2 L1C,satellite,all,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/S2L1C.html,Sentinel-2 archive,10-60 m band dependent,SAFE/COG/API assets,account for most data delivery,Copernicus open data terms,yes,"Top-of-atmosphere product; use only for a documented L2A gap or method comparison",available
CDSE Sentinel Hub Statistical API,satellite quality,all,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Statistical.html,Sentinel-2 archive,user AOI and requested output resolution,JSON,yes OAuth client,Free-account quota and Copernicus terms,yes,"Credentials absent on 2026-07-24; SCL water fraction still requires a stable water mask and method review",blocked_no_oauth
GPM IMERG V07,rainfall,all,https://gpm.nasa.gov/resources/documents/imerg-v07-technical-documentation,June 2000 to delayed present,0.1 degree half-hourly,HDF5/NetCDF/services,usually Earthdata account,NASA data policy and product citation,yes,"Coarse relative to a narrow coastal AOI; context only",feasible_later
ERA5 single levels,meteorology,all,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels,1940 to present,0.25 degree hourly,GRIB/NetCDF via CDS API,yes,Copernicus licence and citation,yes,"Coarse relative to pilot AOI",feasible_later
BMKG marine weather public API,marine context,all,https://maritim.bmkg.go.id/public_api/perairan,current and forecast product dependent,location/product dependent,JSON,no credential observed,BMKG attribution required,potentially,"Historical continuity identifiers and reuse terms need confirmation",investigate
BMKG Ocean Forecast System,ocean context,all,https://maritim.bmkg.go.id/ofs/,forecast and product dependent,model dependent,web viewer and some OPeNDAP/netCDF,product dependent,BMKG attribution and product terms,potentially,"Do not use forecast currents for precise plume or source tracing",investigate
Copernicus Marine Global Ocean Physics Analysis and Forecast,ocean context,all,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_PHY_001_024/description,rolling analysis and forecast,1/12 degree hourly/daily/monthly,NetCDF/toolbox/API,yes,Copernicus Marine licence and citation,yes,"Global model is broad context and too coarse for exact source tracing",feasible_later
BIG Garis Pantai Indonesia 1:25000 Tahun 2022,coastline,all,https://data.go.id/dataset/dataset/garis-pantai-indonesia-skala-1-25000-tahun-2022,2022 release,1:25000,downloadable vector package,check portal workflow,Government open-data terms and attribution,manual_then_scriptable,"Contains both definitive and indicative segments; preserve status",required_before_phase1
HydroRIVERS and HydroBASINS,rivers and catchments,all,https://www.hydrosheds.org/products/hydrorivers,product releases,15 arc-second support for HydroRIVERS,Shapefile/geodatabase,no account generally,HydroSHEDS product-specific licence,yes,"Global HydroRIVERS is about 544 MB and exceeds Phase 0 budget; use a permitted regional extract later",deferred
KLH/BPLH IMIP inspection release,official inspection,Morowali,https://kemenlh.go.id/news/detail/klhbplh-temukan-pelanggaran-lingkungan-serius-di-kawasan-industri-pt-imip,17 June 2025,site/estate narrative,HTML,no,Government publication terms,yes,"Establishes operational need but is not a georeferenced coastal validation dataset",available_context_only
Ministry of Transportation IMIP Airport record,official location,Morowali,https://hubud.kemenhub.go.id/hubud/website/bandara/479,current page with 2025 traffic,point coordinate,HTML,no,Government publication terms,yes,"Airport coordinate is only a geographic anchor and not an estate boundary",available_anchor_only
Fikri et al. Cilegon seawater study,validation lead,Cilegon,https://doi.org/10.61435/jbes.2025.19977,February 2022 sampling,station based; coordinates not adopted,HTML/PDF article,no,CC BY 4.0 article; measurements may require author confirmation,metadata yes data unknown,"Heavy metals are not directly observable from Sentinel-2; reusable station data not yet secured",available_lead
Sabila et al. Teluk Awur Sentinel-2 TSS study,validation lead,Teluk Awur,https://doi.org/10.1002/tqem.70154,published 2025 with 112 samples,station based; coordinates not adopted,publisher article,no for metadata,publisher copyright; data-use permission to confirm,metadata yes data unknown,"Georeferenced sample table is not yet available in the project",available_lead
Astiti et al. Nusa Lembongan chlorophyll-a study,technical method,Nusa Lembongan,https://doi.org/10.30595/jrst.v9i2.24323,published 2025,study area; exact polygon not adopted,open article metadata/PDF route,no,Journal/article terms; verify data reuse,metadata yes data unknown,"Method evidence using L1C/C2RCC but no reusable in-situ validation adopted",available_lead
Official industrial-estate or monitoring boundary,geospatial context,Morowali and Cilegon,TODO,unknown,site specific,unknown,unknown,source dependent,unknown,"No official boundary was found and adopted; all current AOIs are provisional",missing
Official outfall or discharge points,geospatial context,Morowali and Cilegon,TODO,unknown,point or permit specific,unknown,unknown,restricted/source dependent,unknown,"Do not invent or infer an outfall from imagery",missing
